Year,Olympics,Name,Country,Sport,Banned substance,Medals,Sex
2012,Summer,Antonina Krivoshapka,Russia,"Athletics 
400 Metres 
4 x 400 Metres Relay",Turinabol,2,F
2012,Summer,Mariya Bespalova,Russia,"Athletics 
Hammer Throw",Turinabol,0,F
2012,Summer,Khadzhimurat Akkaev,Russia,"Weightlifting 
105 kg",Turinabol,0,M
2012,Summer,Gulfiya Khanafeyeva,Russia,"Athletics 
Hammer Throw",Turinabol,0,F
2012,Summer,Victoria Valyukevich,Russia,"Athletics 
Triple Jump",Turinabol,0,F
2012,Summer,Svetlana Tsarukaeva,Russia,"Weightlifting 
63 kg",Turinabol,2,F
2012,Summer,Maksim Dyldin,Russia,"Athletics 
400 Metres 
4 x 400 Metres Relay",Turinabol,0,M
2012,Summer,Tatyana Chernova,Russia,"Athletics 
Heptathlon",Turinabol,3,F
2012,Summer,Anna Nazarova,Russia,"Athletics 
Long Jump",Turinabol,0,F
2012,Summer,Yulia Gushchina,Russia,"Athletics 
400 Metres 
4 x 400 Metres Relay",Turinabol & Stanozolol,2,F
2012,Summer,Davit Modzmanashvili,Georgia,"Wrestling 
Freestyle 120 kg",Turinabol,2,F
2012,Summer,Valentin Hristov,Azerbaijan,"Weightlifting 
56 kg",Turinabol,3,M
2012,Summer,Alena Matoshka,Belarus,"Athletics 
Hammer Throw",Oxandrolone,0,F
2012,Summer,Anis Ananenka,Belarus,"Athletics 
800 Metres",Turinabol,0,M
2012,Summer,Meline Daluzyan,Armenia,"Weightlifting 
69 kg",Turinabol & Stanozolol,0,M
2012,Summer,Ineta Radevica,Latvia,"Athletics 
Long Jump",Oxandrolone,0,F
2012,Summer,Florin Croitoru,Romania,"Weightlifting 
56 kg",Metenolone & Stanozolol,0,M
2012,Summer,Jevgenij Shuklin,Lithuania,"Canoeing 
C-1 200 Metres",Turinabol,2,M
2012,Summer,Artur Taymazov,Uzbekistan,"Wrestling 
Freestyle 120 kg",Turinabol,1,M
2012,Summer,Oleksiy Torokhtiy,Ukraine,"Weightlifting 
105 kg",Turinabol,1,M
2012,Summer,Klodiana Shala,Albania,"Athletics 
200 Metres",Stanozolol,0,F
2012,Summer,Gulcan Mingir,Turkey,"Athletics 
3000 Metres Steeplechase",Turinabol,0,F
2012,Summer,Mete Binay,Turkey,"Weightlifting 
69 kg",Stanozolol,0,M
2012,Summer,Erol Bilgin,Turkey,"Weightlifting 
62 kg",Turinabol & Stanozolol,0,M
2012,Summer,Razvan Martin,Romania,"Weightlifting 
69 kg",Metenolone & Stanozolol,3,M
2012,Summer,Roxana Cocos,Romania,"Weightlifting 
69 kg",Metenolone & Stanozolol,2,F
2012,Summer,Gabriel Sincraian,Romania,"Weightlifting 
85 kg",Metenolone & Stanozolol,0,M
2012,Summer,Tatyana Firova,Russia,"Athletics 
4 x 400 Metres Relay",,2,F
2012,Summer,Svetlana Shkolina,Russia,"Athletics 
High Jump",,3,F
2012,Summer,Ivan Ukhov,Russia,"Athletics 
High Jump",,1,M
2012,Summer,Lyukman Adams,Russia,"Athletics 
Triple Jump",,0,M
2012,Summer,Yekaterina Galitskaya,Russia,"Athletics 
100 Metres Hurdles",,0,F
2012,Summer,Yuliya Kondakova,Russia,"Athletics 
100 Metres Hurdles",,0,M
2012,Summer,Ruslan Nurudinov,Uzbekistan,"Weightlifting 
105 kg",Turinabol,0,M
2012,Summer,Mikalai Novikau,Belarus,"Weightlifting 
85 kg",Turinabol & Stanozolol,0,M
2012,Summer,Elena Lashmanova,Russia,"Athletics 
20 km race walk",,1,F
2012,Summer,Irina Tarasova,Russia,"Athletics 
Shot Put",,0,F
2012,Summer,Natalya Antyukh,Russia,"Athletics 
Women's 400��m hu",,1,F
2012,Summer,Yelena Churakova,Russia,"Athletics 
Women's 400��m hu",,0,F
2016,Summer,Izzat Artykov,Kyrgyzstan,"Weightlifting 
69 kg",Strychnine,3,M
2016,Summer,Chen Xinyi,China,"Swimming 
100 metre butterfly",Hydrochlorothiazide,0,F
2016,Summer,Anastassya Kudinova,Kazakhstan,"Athletics 
400 metres",Drostanolone,0,F
2016,Summer,Kleber Ramos,Brazil,"Cycling 
Road race",CERA,0,M
2016,Summer,Serghei Tarnovschi,Moldova,"Canoeing 
C-1 1000 metres 
C-2 1000 metres",GHRP-2,3,M
2016,Summer,Chagnaadorj Usukhbayar,Mongolia,"Weightlifting 
56 kg",Exogenous testosterone,0,M
2016,Summer,Misha Aloian,Russia,"Boxing
Men's flyweight",Tuaminoheptane,2,M
2016,Summer,Gabriel Sincraian,Romania,"Weightlifting
Men's 85 kg",,3,M
2016,Summer,Nijat Rahimov,Kazakhstan,"Weightlifting
Men's 77 kg",,1,M
2016,Summer,Marta Bastianelli,Italy,Cycling,Fenfluramine,0,F
2016,Summer,Fani Halkia,Greece,Athletics,Methyltrienolone,0,F
2016,Summer,Maria Isabel Moreno,Spain,Cycling,Erythropoietin,0,F
2016,Summer,Tatyana Tomashova,Russia,Athletics,,0,F
2016,Summer,Yelena Soboleva,Russia,Athletics,,0,F
2016,Summer,Svetlana Cherkasova,Russia,Athletics,,0,F
2016,Summer,Yuliya Fomenko,Russia,Athletics,,0,F
2016,Summer,Darya Pishchalnikova,Russia,Athletics,,0,F
2016,Summer,Gulfiya Khanafeyeva,Russia,Athletics,,0,F
2016,Summer,Olga Yegorova,Russia,Athletics,,0,F
2012,Summer,Victoria Baranova,Russia,"Cycling 
Track - sprint",Testosterone,0,F
2012,Summer,Kissya Cataldo,Brazil,"Rowing 
Single sculls",Erythropoietin,0,F
2012,Summer,Luiza Galiulina,Uzbekistan,Gymnastics,Furosemide,0,F
2012,Summer,Amine Laalou,Morocco,"Athletics 
1500 metres",Furosemide,0,M
2012,Summer,Marina Marghieva,Moldova,"Athletics 
Hammer throw",Stanozolol,0,F
2012,Summer,Diego Palomeque,Colombia,"Athletics 
400 metres",Exogenous testosterone,0,M
2012,Summer,Alex Schwazer,Italy,"Athletics 
50 km walk",Erythropoietin,0,M
2012,Summer,Tameka Williams,Saint Kitts and Nevis,"Athletics 
100 metres","""Blast Off Red""",0,F
2016,Summer,Sergey Fedorovtsev,Russia,"Rowing 
Men's quadruple sculls",Trimetazidine,0,M
2016,Summer,Silvia Danekova,Bulgaria,"Athletics 
Steeplechase",Erythropoietin,0,F
2016,Summer,Theodora Giareni,Greece,"Swimming 
50 metre freestyle",,0,F
2016,Summer,Antonis Martasidis,Cyprus,"Weightlifting 
85 kg",,0,M
2016,Summer,Michael O'Reilly,Ireland,"Boxing 
Middleweight",,0,M
2016,Summer,Narsingh Pancham Yadav,India,"Wrestling 
Freestyle 74 kg",Methandienone,0,M
2016,Summer,Adrian Zielinski,Poland,"Weightlifting 
94 kg",Nandrolone,0,M
2016,Summer,Tomasz Zielinski,Poland,"Weightlifting 
94 kg",Nandrolone,0,M
2020,Summer,Mark Odhiambo,Kenya,"Athletics 
Men's 100 meters",Anabolic androgenic steroids,0,M
2021,Summer,Yuliya Yelistratova,Ukraine,"Triathlon
Women's individual",Erythropoietin,0,F
2022,Summer,Benik Abramyan,Georgia,"Athletics 
Men's shot put",Chlorodehydromethyltestosterone,0,M
2023,Summer,Kariem Hussein,Switzerland,"Athletics 
Men's 400 metres hurdles",Nikethamide,0,M
2006,Winter,Armando dos Santos,Brazil,Bobsleigh,Nandrolone,0,M
2010,Winter,Albina Akhatova,Russia,Biathlon,Erythropoietin,0,F
2010,Winter,Ekaterina Iourieva,Russia,Biathlon,Erythropoietin,0,F
2010,Winter,Dmitri Yaroshenko,Russia,Biathlon,Erythropoietin,0,M
2010,Winter,Natalya Matveyeva,Russia,Cross-country skiing,Erythropoietin,0,F
2022,Winter,Hossein Saveh-Shemshaki,Iran,Alpine skiing,Chlorodehydromethyltestosterone,0,M
2006,Winter,Roland Diethart,Austria,Cross-country skiing,Possession of a prohibited substance or method,0,M
2007,Winter,Johannes Eder,Austria,Cross-country skiing,Possession of a prohibited substance or method,0,M
2008,Winter,Wolfgang Perner,Austria,Biathlon,Possession of a prohibited substance or method,0,M
2009,Winter,Jurgen Pinter,Austria,Cross-country skiing,Possession of a prohibited substance or method,0,M
2010,Winter,Wolfgang Rottmann,Austria,Biathlon,Possession of a prohibited substance or method,0,M
2011,Winter,Martin Tauber,Austria,Cross-country skiing,Possession of a prohibited substance or method,0,M
2010,Winter,Kornelia Marek,Poland,Cross-country skiing,Erythropoietin,0,F
2011,Winter,Teja Gregorin,Slovenia,"Biathlon 
Women's Individual 
Women's Sprint 
Women's Pursuit 
Women's Mass Start 
Women's Relay",GHRP-2,0,M
2006,Winter,Olga Pyleva,Russia,Biathlon,Carphedon,2,F
2014,Winter,Nicklas Backstrom,Sweden,Ice hockey,Pseudoephedrine,2,M
2014,Winter,Johannes Durr,Austria,Cross-country skiing,Erythropoietin,0,M
2014,Winter,Ralfs Freibergs,Latvia,Ice hockey,Dehydrochloromethyltestosterone,0,M
2014,Winter,William Frullani,Italy,Bobsleigh,Methylhexanamine,0,M
2014,Winter,Marina Lisogor,Ukraine,Cross-country skiing,Trimetazidine,0,F
2014,Winter,Alexandr Loginov,Russia,Biathlon,Erythropoietin,0,M
2014,Winter,Irina Starykh,Russia,Biathlon,Erythropoietin,0,F
2014,Winter,Ekaterina Iourieva,Russia,Biathlon,Erythropoietin,0,F
2014,Winter,Vitalijs Pavlovs,Latvia,Ice hockey,Methylhexanamine,0,M
2014,Winter,Evi Sachenbacher-Stehle,Germany,Biathlon,Methylhexanamine,0,F
2014,Winter,Serguei Sednev,Ukraine,Biathlon,Erythropoietin,0,M
2014,Winter,Daniel Zalewski,Poland,Bobsleigh,Stimulant,0,M
2014,Winter,Alexander Legkov,Russia,"Cross-Country Skiing 
50km Freestyle 
4 x 10km Cross Country 
30km Skiathlon",Disappearing sample,1,M
2014,Winter,Evgeniy Belov,Russia,"Cross-Country Skiing 
30km Skiathlon 
15km Classical",Disappearing Sample,0,M
2014,Winter,Maxim Vylegzhanin,Russia,"Cross-Country Skiing 
50km Freestyle 
30km Skiathlon 
4 �� 10km Relay 
Team S",Disappearing Sample,2,M
2014,Winter,Evgenia Shapovalova,Russia,"Cross-Country Skiing 
Sprint",Disappearing Sample,0,F
2014,Winter,Alexei Petukhov,Russia,"Cross-Country Skiing 
Sprint",Disappearing Sample,0,M
2014,Winter,Yulia Ivanova,Russia,"Cross-Country Skiing 
10km Classical 
Team Sprint 
4 x 5km Relay 
30km Freestyle",Disappearing Sample,0,F
2014,Winter,Aleksandr Tretyakov,Russia,"Skeleton 
Men's",Disappearing Sample,1,M
2014,Winter,Elena Nikitina,Russia,"Skeleton 
Women's",Disappearing Sample,3,F
2014,Winter,Olga Potylitsina,Russia,"Skeleton 
Women's",Disappearing Sample,0,F
2014,Winter,Maria Orlova,Russia,"Skeleton 
Women's",Disappearing Sample,0,F
2014,Winter,Olga Stulneva,Russia,"Bobsleigh 
Two-woman",Disappearing Sample,0,F
2014,Winter,Alexandr Zubkov,Russia,"Bobsleigh 
Two-man 
Four-man",Disappearing Sample,1,M
2014,Winter,Olga Fatkulina,Russia,"Speed skating 
Women's 500 metres",Disappearing Sample,2,F
2014,Winter,Aleksandr Rumyantsev,Russia,"Speed skating 
Men's 5000 metres 
Men's team pursuit",Disappearing Sample,0,M
2014,Winter,Aleksei Negodaylo,Russia,"Bobsleigh 
Four-Man",Disappearing Sample,1,M
2014,Winter,Dmitry Trunenkov,Russia,"Bobsleigh 
Four-Man",Disappearing Sample,1,M
2014,Winter,Olga Vilukhina,Russia,"Biathlon 
Women's sprint 
Women's pursuit 
Women's mass start 
Mixed relay 
Women's relay",Disappearing Sample,2,F
2014,Winter,Yana Romanova,Russia,"Biathlon 
Women's sprint 
Women's pursuit 
Women's individual 
Women's relay",Disappearing Sample,2,F
2014,Winter,Sergei Chudinov,Russia,"Skeleton 
Men's",Disappearing Sample,0,M
2014,Winter,Alexander Kasjanov,Russia,"Bobsleigh 
Four-man 
Two-man",Disappearing Sample,0,M
2014,Winter,Aleksei Pushkarev,Russia,"Bobsleigh 
Four-man",Disappearing Sample,0,M
2014,Winter,Ilvir Huzin,Russia,"Bobsleigh 
Four-man",Disappearing Sample,0,M
2014,Winter,Yuliya Chekalyova,Russia,"Cross-Country Skiing 
Women's 15 kilometre skiathlon 
Women's 10 kilometre classical 
Women's 4 �� 5 kilometre relay 
Women's 30 kilometre free",Disappearing Sample,0,F
2014,Winter,Anastasia Dotsenko,Russia,"Cross-Country Skiing 
Women's sprint 
Women's team sprint",Disappearing Sample,0,F
2014,Winter,Olga Zaitseva,Russia,"Biathlon 
Women's sprint 
Women's pursuit 
Women's individual 
Women's mass start 
Women's relay 
Mixed relay",Disappearing Sample,2,F
2014,Winter,Inna Dyubanok,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Yekaterina Lebedeva,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Yekaterina Pashkevich,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Anna Shibanova,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Yekaterina Smolentseva,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Galina Skiba,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Alexey Voyevoda,Russia,"Bobsleigh 
Bobsleigh, Two-Man 
Bobsleigh, Four-Man",Disappearing Sample,1,M
2014,Winter,Albert Demchenko,Russia,"Luge 
Luge, Men's singles 
Luge, Team relay",Disappearing Sample,2,M
2014,Winter,Tatiana Ivanova,Russia,"Luge 
Luge, Women's singles 
Luge, Team relay",Disappearing Sample,2,F
2014,Winter,Ivan Skobrev,Russia,Speed skating,Disappearing Sample,0,M
2014,Winter,Artyom Kuznetsov,Russia,Speed skating,Disappearing Sample,0,M
2014,Winter,Liudmila Udobkina,Russia,Bobsleigh,Disappearing Sample,0,F
2014,Winter,Maxim Belugin,Russia,Bobsleigh,Disappearing Sample,0,M
2014,Winter,Tatiana Burina,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Anna Shukina,Russia,"Ice hockey 
Women's tournament",Disappearing Sample,0,F
2014,Winter,Nikita Kryukov,Russia,Cross-country skiing,Disappearing Sample,0,F
2014,Winter,Alexander Bessmertnykh,Russia,Cross-country skiing,Disappearing Sample,0,M
2014,Winter,Natalya Matveyeva,Russia,Cross-country skiing,Disappearing Sample,0,F
